Sample_ID,Year,Country,Continent,Beta.lactamase,Azithromycin,Ciprofloxacin,Ceftriaxone,Cefixime,Tetracycline,Penicillin,NG_MAST,Group,azm_mic,cip_mic,cro_mic,cfx_mic,tet_mic,pen_mic,log2_azm_mic,log2_cip_mic,log2_cro_mic,log2_cfx_mic,log2_tet_mic,log2_pen_mic,azm_sr,cip_sr,cro_sr,cfx_sr,tet_sr,pen_sr
ERR1549286,2015,UK,Europe,,>256,,0.016,,,,9768,1058,512,NA,0.016,NA,NA,NA,9,NA,-5.965784285,NA,NA,NA,1,NA,0,NA,NA,NA
ERR1549290,2015,UK,Europe,,>256,,0.004,,,,9768,1058,512,NA,0.004,NA,NA,NA,9,NA,-7.965784285,NA,NA,NA,1,NA,0,NA,NA,NA
ERR1549291,2015,UK,Europe,,>256,,0.006,,,,9768,1058,512,NA,0.006,NA,NA,NA,9,NA,-7.380821784,NA,NA,NA,1,NA,0,NA,NA,NA
ERR1549287,2015,UK,Europe,,>256,,0.006,,,,9768,1058,512,NA,0.006,NA,NA,NA,9,NA,-7.380821784,NA,NA,NA,1,NA,0,NA,NA,NA
ERR1549288,2015,UK,Europe,,>256,,0.008,,,,9768,1058,512,NA,0.008,NA,NA,NA,9,NA,-6.965784285,NA,NA,NA,1,NA,0,NA,NA,NA
ERR1549299,2015,UK,Europe,,>256,,0.012,,,,NA,0,512,NA,0.012,NA,NA,NA,9,NA,-6.380821784,NA,NA,NA,1,NA,0,NA,NA,NA
ERR1549292,2015,UK,Europe,,>256,,0.023,,,,9768,1058,512,NA,0.023,NA,NA,NA,9,NA,-5.442222329,NA,NA,NA,1,NA,0,NA,NA,NA
ERR1549298,2015,UK,Europe,,0.5,,0.094,,,,NA,0,0.5,NA,0.094,NA,NA,NA,-1,NA,-3.411195433,NA,NA,NA,0,NA,0,NA,NA,NA
ERR1549296,2015,UK,Europe,,0.5,,0.094,,,,NA,0,0.5,NA,0.094,NA,NA,NA,-1,NA,-3.411195433,NA,NA,NA,0,NA,0,NA,NA,NA
ERR1549300,2015,UK,Europe,,>256,,0.008,,,,NA,0,512,NA,0.008,NA,NA,NA,9,NA,-6.965784285,NA,NA,NA,1,NA,0,NA,NA,NA
ERR1549295,2015,UK,Europe,,0.75,,0.094,,,,NA,0,0.75,NA,0.094,NA,NA,NA,-0.415037499,NA,-3.411195433,NA,NA,NA,0,NA,0,NA,NA,NA
ERR1549294,2015,UK,Europe,,0.75,,0.094,,,,1407,127,0.75,NA,0.094,NA,NA,NA,-0.415037499,NA,-3.411195433,NA,NA,NA,0,NA,0,NA,NA,NA
ERR1549289,2015,UK,Europe,,0.75,,0.094,,,,NA,0,0.75,NA,0.094,NA,NA,NA,-0.415037499,NA,-3.411195433,NA,NA,NA,0,NA,0,NA,NA,NA
ERR1549293,2015,UK,Europe,,>256,,0.016,,,,11836,1059,512,NA,0.016,NA,NA,NA,9,NA,-5.965784285,NA,NA,NA,1,NA,0,NA,NA,NA
SRR1661154,1996,Canada,America,,0.25,0.5,0.125,0.125,2,2,10443,672,0.25,0.5,0.125,0.125,2,2,-2,-1,-3,-3,1,1,0,0,0,0,1,1
SRR1661156,1997,Canada,America,,0.25,16,0.125,0.063,2,2,10476,675,0.25,16,0.125,0.063,2,2,-2,4,-3,-3.988504361,1,1,0,1,0,0,1,1
SRR1661157,1998,Canada,America,,0.125,0.016,0.125,0.063,>=128,4,10469,674,0.125,0.016,0.125,0.063,256,4,-3,-5.965784285,-3,-3.988504361,8,2,0,0,0,0,1,1
SRR1661158,2000,Canada,America,,0.25,0.5,0.125,0.25,4,4,4138,846,0.25,0.5,0.125,0.25,4,4,-2,-1,-3,-2,2,2,0,0,0,0,1,1
SRR1661159,2001,Canada,America,,0.063,0.063,0.00025,0.001,0.5,0.008,8,411,0.063,0.063,0.00025,0.001,0.5,0.008,-3.988504361,-3.988504361,-11.96578428,-9.965784285,-1,-6.965784285,0,0,0,0,0,0
SRR1661160,2001,Canada,America,,0.125,0.004,0.002,0.004,1,0.063,-,1,0.125,0.004,0.002,0.004,1,0.063,-3,-7.965784285,-8.965784285,-7.965784285,0,-3.988504361,0,0,0,0,0,0
SRR1661161,2001,Canada,America,,0.5,16,0.125,0.25,4,4,4383,853,0.5,16,0.125,0.25,4,4,-1,4,-3,-2,2,2,0,1,0,0,1,1
SRR1661162,2001,Canada,America,,0.063,0.004,0.004,0.008,0.125,0.063,51,563,0.063,0.004,0.004,0.008,0.125,0.063,-3.988504361,-7.965784285,-7.965784285,-6.965784285,-3,-3.988504361,0,0,0,0,0,0
SRR1661163,2001,Canada,America,,0.5,0.032,0.125,0.032,4,4,108,697,0.5,0.032,0.125,0.032,4,4,-1,-4.965784285,-3,-4.965784285,2,2,0,0,0,0,1,1
SRR1661164,2001,Canada,America,,0.5,64,0.125,0.25,4,4,1424,129,0.5,64,0.125,0.25,4,4,-1,6,-3,-2,2,2,0,1,0,0,1,1
SRR1661165,2001,Canada,America,,0.25,0.25,0.125,0.032,2,2,84,960,0.25,0.25,0.125,0.032,2,2,-2,-2,-3,-4.965784285,1,1,0,0,0,0,1,1
SRR1661166,2001,Canada,America,,0.5,16,0.125,0.25,4,4,4383,853,0.5,16,0.125,0.25,4,4,-1,4,-3,-2,2,2,0,1,0,0,1,1
SRR1661167,2002,Canada,America,,2,0.032,0.125,0.063,4,8,5,317,2,0.032,0.125,0.063,4,8,1,-4.965784285,-3,-3.988504361,2,3,0,0,0,0,1,1
SRR1661169,2004,Canada,America,,0.063,0.004,0.002,0.004,0.25,0.063,9022,982,0.063,0.004,0.002,0.004,0.25,0.063,-3.988504361,-7.965784285,-8.965784285,-7.965784285,-2,-3.988504361,0,0,0,0,0,0
SRR1661171,2005,Canada,America,,0.063,0.004,0.002,0.004,0.25,0.125,25,190,0.063,0.004,0.002,0.004,0.25,0.125,-3.988504361,-7.965784285,-8.965784285,-7.965784285,-2,-3,0,0,0,0,0,0
SRR1661172,2005,Canada,America,,0.125,0.008,0.004,0.004,1,0.25,210,172,0.125,0.008,0.004,0.004,1,0.25,-3,-6.965784285,-7.965784285,-7.965784285,0,-2,0,0,0,0,0,0
SRR1661174,2005,Canada,America,,0.063,8,0.032,0.032,1,0.5,225,179,0.063,8,0.032,0.032,1,0.5,-3.988504361,3,-4.965784285,-4.965784285,0,-1,0,1,0,0,0,0
SRR1661176,2005,Canada,America,,0.5,16,0.032,0.063,4,1,1407,127,0.5,16,0.032,0.063,4,1,-1,4,-4.965784285,-3.988504361,2,0,0,1,0,0,1,0
